UF,CodMun,Nome_Municipio,Rede,Taxa_Aprovacao_1-5 ,Taxa_Aprovacao_1,Taxa_Aprovacao_2,Taxa_Aprovacao_3,Taxa_Aprovacao_4,Taxa_Aprovacao_5,Indicador_Rendimento_P,Matemática,Língua_Portuguesa,Nota_Media_Padronizada_N,IDEB_N_x_P
MG,3100104.0,Abadia dos Dourados,Municipal,96.8,100.0,100.0,85.3,100.0,98.9,0.96,244.18,231.60,6.83,6.6
MG,3100104.0,Abadia dos Dourados,Pública,96.8,100.0,100.0,85.3,100.0,98.9,0.96,244.18,231.60,6.83,6.6
MG,3100203.0,Abaeté,Estadual,99.8,100.0,100.0,99.3,100.0,100.0,1.00,255.01,241.87,7.23,7.2
MG,3100203.0,Abaeté,Municipal,99.0,98.3,100.0,100.0,99.1,97.9,0.99,238.57,232.04,6.74,6.7
MG,3100203.0,Abaeté,Pública,99.5,99.0,100.0,99.6,99.6,99.3,0.99,249.64,238.66,7.07,7.0
MG,3100302.0,Abre Campo,Estadual,100.0,100.0,100.0,100.0,100.0,100.0,1.00,246.48,236.46,6.97,7.0
MG,3100302.0,Abre Campo,Municipal,-,-,-,-,-,-,-,-,-,-,-
MG,3100302.0,Abre Campo,Pública,97.6,97.7,96.2,97.3,97.4,99.5,0.98,246.48,236.46,6.97,6.8
MG,3100401.0,Acaiaca,Municipal,100.0,100.0,100.0,100.0,100.0,100.0,1.00,231.57,222.84,6.43,6.4
MG,3100401.0,Acaiaca,Pública,100.0,100.0,100.0,100.0,100.0,100.0,1.00,231.57,222.84,6.43,6.4
MG,3100500.0,Açucena,Estadual,98.6,98.4,100.0,98.6,100.0,96.4,0.99,219.77,205.49,5.89,5.8
MG,3100500.0,Açucena,Pública,99.0,99.1,99.1,99.1,100.0,97.9,0.99,219.77,205.49,5.89,5.8
MG,3100609.0,Água Boa,Estadual,98.2,98.8,97.1,95.6,100.0,98.9,0.98,241.70,229.93,6.76,6.6
MG,3100609.0,Água Boa,Municipal,-,-,-,-,-,-,-,-,-,-,-
MG,3100609.0,Água Boa,Pública,97.9,98.6,97.7,96.8,99.2,96.9,0.98,241.70,229.93,6.76,6.6
MG,3100708.0,Água Comprida,Municipal,93.0,100.0,100.0,90.6,95.5,80.0,0.93,228.18,210.86,6.15,5.7
MG,3100708.0,Água Comprida,Pública,93.0,100.0,100.0,90.6,95.5,80.0,0.93,228.18,210.86,6.15,5.7
MG,3100807.0,Aguanil,Estadual,100.0,100.0,100.0,100.0,100.0,100.0,1.00,267.36,247.50,7.57,7.6
MG,3100807.0,Aguanil,Municipal,100.0,100.0,100.0,100.0,100.0,100.0,1.00,-,-,-,-
MG,3100807.0,Aguanil,Pública,100.0,100.0,100.0,100.0,100.0,100.0,1.00,267.36,247.50,7.57,7.6
MG,3100906.0,Águas Formosas,Estadual,99.9,100.0,100.0,100.0,100.0,99.6,1.00,222.51,216.68,6.15,6.1
MG,3100906.0,Águas Formosas,Municipal,-,-,-,-,-,-,-,-,-,-,-
MG,3100906.0,Águas Formosas,Pública,98.7,99.6,100.0,99.6,100.0,95.0,0.99,222.51,216.68,6.15,6.1
